"";"cut";"color"
"331";"Very Good";"E"
"332";"Ideal";"G"
"333";"Ideal";"E"
"334";"Good";"G"
"335";"Premium";"F"
"336";"Premium";"F"
"337";"Premium";"G"
"338";"Premium";"G"
"339";"Premium";"G"
"340";"Premium";"G"
"341";"Very Good";"G"
"342";"Ideal";"D"
"343";"Very Good";"E"
"344";"Very Good";"E"
"345";"Very Good";"E"
"346";"Very Good";"D"
"347";"Ideal";"F"
"348";"Very Good";"F"
"349";"Ideal";"H"
"350";"Ideal";"D"
"351";"Ideal";"D"
"352";"Ideal";"D"
"353";"Fair";"I"
"354";"Premium";"F"
"355";"Premium";"F"
"356";"Ideal";"E"
"357";"Fair";"E"
"358";"Premium";"F"
"359";"Ideal";"G"
"360";"Fair";"F"
"361";"Good";"G"
"362";"Very Good";"G"
"363";"Very Good";"H"
"364";"Ideal";"F"
"365";"Very Good";"F"
"366";"Very Good";"F"
"367";"Premium";"J"
"368";"Very Good";"H"
"369";"Very Good";"F"
"370";"Fair";"G"
"371";"Very Good";"G"
"372";"Ideal";"E"
"373";"Very Good";"D"
"374";"Very Good";"F"
"375";"Premium";"D"
"376";"Premium";"F"
"377";"Fair";"F"
"378";"Very Good";"F"
"379";"Very Good";"F"
"380";"Ideal";"D"
"381";"Good";"F"
"382";"Good";"G"
"383";"Very Good";"F"
"384";"Very Good";"D"
"385";"Fair";"J"
"386";"Fair";"I"
"387";"Very Good";"G"
"388";"Very Good";"F"
"389";"Good";"E"
"390";"Very Good";"F"
"391";"Premium";"I"
"392";"Premium";"I"
"393";"Ideal";"I"
"394";"Premium";"I"
"395";"Very Good";"I"
"396";"Ideal";"I"
"397";"Premium";"H"
"398";"Premium";"H"
"399";"Premium";"H"
"400";"Very Good";"H"
"401";"Good";"H"
"402";"Ideal";"H"
"403";"Very Good";"H"
"404";"Good";"I"
"405";"Ideal";"H"
"406";"Very Good";"E"
"407";"Very Good";"E"
"408";"Very Good";"F"
"409";"Ideal";"H"
"410";"Ideal";"H"
"411";"Ideal";"I"
"412";"Ideal";"I"
"413";"Ideal";"G"
"414";"Ideal";"F"
"415";"Ideal";"G"
"416";"Very Good";"E"
"417";"Very Good";"F"
"418";"Ideal";"I"
"419";"Ideal";"G"
"420";"Ideal";"E"
"421";"Very Good";"F"
"422";"Very Good";"F"
"423";"Ideal";"D"
"424";"Fair";"J"
"425";"Premium";"E"
"426";"Ideal";"F"
"427";"Premium";"G"
"428";"Very Good";"E"
"429";"Good";"I"
"430";"Premium";"E"
"431";"Ideal";"E"
"432";"Premium";"E"
"433";"Very Good";"D"
"434";"Very Good";"F"
"435";"Premium";"G"
"436";"Ideal";"H"
"437";"Ideal";"H"
"438";"Ideal";"H"
"439";"Ideal";"H"
"440";"Fair";"J"
"441";"Fair";"F"
"442";"Premium";"H"
"443";"Premium";"E"
"444";"Fair";"E"
"445";"Premium";"G"
"446";"Very Good";"I"
"447";"Ideal";"G"
"448";"Good";"D"
"449";"Premium";"F"
"450";"Ideal";"H"
"451";"Ideal";"H"
"452";"Premium";"E"
"453";"Ideal";"I"
"454";"Ideal";"E"
"455";"Premium";"E"
"456";"Ideal";"F"
"457";"Premium";"E"
"458";"Premium";"E"
"459";"Ideal";"E"
"460";"Premium";"E"
"461";"Ideal";"J"
"462";"Good";"E"
"463";"Premium";"E"
"464";"Premium";"E"
"465";"Premium";"E"
"466";"Premium";"H"
"467";"Premium";"F"
"468";"Ideal";"H"
"469";"Ideal";"E"
"470";"Premium";"E"
"471";"Premium";"F"
"472";"Premium";"E"
"473";"Fair";"H"
"474";"Very Good";"G"
"475";"Ideal";"H"
"476";"Good";"F"
"477";"Good";"F"
"478";"Ideal";"G"
"479";"Ideal";"E"
"480";"Premium";"E"
"481";"Ideal";"E"
"482";"Premium";"E"
"483";"Good";"E"
"484";"Premium";"E"
"485";"Premium";"E"
"486";"Premium";"D"
"487";"Very Good";"E"
"488";"Premium";"E"
"489";"Premium";"E"
"490";"Premium";"E"
"491";"Premium";"E"
"492";"Premium";"E"
"493";"Ideal";"F"
"494";"Ideal";"I"
"495";"Ideal";"F"
"496";"Premium";"D"
"497";"Premium";"D"
"498";"Premium";"D"
"499";"Ideal";"D"
"500";"Good";"J"
"501";"Ideal";"D"
"502";"Premium";"E"
"503";"Premium";"E"
"504";"Ideal";"D"
"505";"Good";"E"
"506";"Ideal";"D"
"507";"Ideal";"D"
"508";"Premium";"E"
"509";"Premium";"F"
"510";"Ideal";"D"
"511";"Very Good";"D"
"512";"Good";"I"
"513";"Premium";"E"
"514";"Ideal";"E"
"515";"Fair";"H"
"516";"Ideal";"E"
"517";"Premium";"D"
"518";"Ideal";"I"
"519";"Good";"E"
"520";"Ideal";"F"
"521";"Premium";"E"
"522";"Premium";"G"
"523";"Premium";"H"
"524";"Very Good";"G"
"525";"Premium";"H"
"526";"Premium";"J"
"527";"Fair";"H"
"528";"Premium";"E"
"529";"Good";"E"
"530";"Premium";"I"
"531";"Premium";"E"
"532";"Very Good";"D"
"533";"Premium";"E"
"534";"Very Good";"I"
"535";"Premium";"F"
"536";"Ideal";"F"
"537";"Very Good";"D"
"538";"Good";"D"
"539";"Premium";"H"
"540";"Ideal";"H"
"541";"Ideal";"H"
"542";"Ideal";"D"
"543";"Premium";"H"
"544";"Premium";"F"
"545";"Good";"E"
"546";"Ideal";"E"
"547";"Ideal";"F"
"548";"Premium";"E"
"549";"Premium";"E"
"550";"Very Good";"E"
"551";"Very Good";"H"
"552";"Ideal";"F"
"553";"Ideal";"F"
"554";"Ideal";"F"
"555";"Ideal";"I"
"556";"Premium";"G"
"557";"Very Good";"E"
"558";"Ideal";"E"
"559";"Ideal";"E"
"560";"Premium";"E"
"561";"Ideal";"G"
"562";"Very Good";"F"
"563";"Very Good";"I"
"564";"Premium";"G"
"565";"Premium";"G"
"566";"Ideal";"H"
"567";"Premium";"F"
"568";"Good";"J"
"569";"Very Good";"I"
"570";"Very Good";"E"
"571";"Very Good";"D"
"572";"Ideal";"D"
"573";"Ideal";"F"
"574";"Ideal";"H"
"575";"Ideal";"F"
"576";"Ideal";"G"
"577";"Ideal";"H"
"578";"Very Good";"D"
"579";"Ideal";"F"
"580";"Ideal";"I"
"581";"Very Good";"J"
"582";"Fair";"G"
"583";"Ideal";"E"
"584";"Ideal";"F"
"585";"Ideal";"F"
"586";"Ideal";"E"
"587";"Ideal";"E"
"588";"Ideal";"E"
"589";"Premium";"F"
"590";"Very Good";"H"
"591";"Good";"E"
"592";"Premium";"E"
"593";"Ideal";"E"
"594";"Ideal";"F"
"595";"Very Good";"H"
"596";"Fair";"F"
"597";"Premium";"F"
"598";"Premium";"F"
"599";"Premium";"F"
"600";"Premium";"G"
"601";"Premium";"F"
"602";"Very Good";"E"
"603";"Premium";"F"
"604";"Premium";"F"
"605";"Premium";"G"
"606";"Very Good";"E"
"607";"Ideal";"F"
"608";"Ideal";"F"
"609";"Ideal";"F"
"610";"Premium";"F"
"611";"Premium";"F"
"612";"Premium";"F"
"613";"Ideal";"F"
"614";"Ideal";"G"
"615";"Ideal";"E"
"616";"Ideal";"G"
"617";"Premium";"G"
"618";"Premium";"F"
"619";"Premium";"G"
"620";"Premium";"F"
"621";"Very Good";"H"
"622";"Very Good";"F"
"623";"Ideal";"F"
"624";"Premium";"F"
"625";"Ideal";"D"
"626";"Premium";"F"
"627";"Premium";"H"
"628";"Premium";"F"
"629";"Very Good";"D"
"630";"Very Good";"D"
"631";"Ideal";"F"
"632";"Ideal";"F"
"633";"Very Good";"F"
"634";"Ideal";"F"
"635";"Premium";"F"
"636";"Fair";"G"
"637";"Ideal";"D"
"638";"Premium";"F"
"639";"Premium";"G"
"640";"Ideal";"I"
"641";"Premium";"F"
"642";"Very Good";"E"
"643";"Very Good";"E"
"644";"Very Good";"E"
"645";"Very Good";"F"
"646";"Very Good";"D"
"647";"Ideal";"G"
"648";"Very Good";"F"
"649";"Ideal";"E"
"650";"Ideal";"F"
"651";"Ideal";"G"
"652";"Very Good";"E"
"653";"Very Good";"E"
"654";"Ideal";"I"
"655";"Good";"I"
"656";"Ideal";"H"
"657";"Very Good";"E"
"658";"Very Good";"E"
"659";"Good";"H"
"660";"Premium";"H"
"661";"Ideal";"D"
"662";"Very Good";"F"
"663";"Ideal";"H"
"664";"Fair";"H"
"665";"Good";"H"
"666";"Ideal";"E"
"667";"Ideal";"E"
"668";"Good";"F"
"669";"Premium";"E"
"670";"Premium";"G"
"671";"Premium";"G"
"672";"Very Good";"H"
"673";"Ideal";"E"
"674";"Premium";"D"
"675";"Very Good";"G"
"676";"Ideal";"D"
"677";"Fair";"D"
"678";"Good";"E"
"679";"Very Good";"E"
"680";"Very Good";"E"
"681";"Ideal";"F"
"682";"Ideal";"J"
"683";"Very Good";"H"
"684";"Very Good";"F"
"685";"Ideal";"D"
"686";"Very Good";"F"
"687";"Premium";"H"
"688";"Ideal";"F"
"689";"Very Good";"E"
"690";"Ideal";"I"
"691";"Ideal";"G"
"692";"Ideal";"E"
"693";"Very Good";"I"
"694";"Premium";"F"
"695";"Good";"G"
"696";"Ideal";"D"
"697";"Premium";"D"
"698";"Premium";"E"
"699";"Premium";"I"
"700";"Very Good";"H"
"701";"Very Good";"E"
"702";"Premium";"H"
"703";"Premium";"E"
"704";"Fair";"J"
"705";"Fair";"J"
"706";"Good";"J"
"707";"Fair";"H"
"708";"Premium";"E"
"709";"Premium";"F"
"710";"Very Good";"F"
"711";"Good";"J"
"712";"Premium";"D"
"713";"Fair";"E"
"714";"Fair";"I"
"715";"Fair";"G"
"716";"Ideal";"H"
"717";"Ideal";"F"
"718";"Ideal";"G"
"719";"Ideal";"F"
"720";"Fair";"I"
"721";"Ideal";"E"
"722";"Ideal";"E"
"723";"Ideal";"H"
"724";"Good";"G"
"725";"Good";"E"
"726";"Good";"E"
"727";"Good";"E"
"728";"Very Good";"G"
"729";"Ideal";"E"
"730";"Good";"E"
"731";"Ideal";"I"
"732";"Ideal";"I"
"733";"Ideal";"I"
"734";"Ideal";"I"
"735";"Ideal";"I"
"736";"Ideal";"I"
"737";"Ideal";"G"
"738";"Ideal";"H"
"739";"Ideal";"H"
"740";"Premium";"G"
"741";"Premium";"F"
"742";"Premium";"G"
"743";"Ideal";"G"
"744";"Premium";"F"
"745";"Premium";"J"
"746";"Premium";"J"
"747";"Ideal";"J"
"748";"Ideal";"I"
"749";"Good";"I"
"750";"Premium";"I"
"751";"Fair";"H"
"752";"Premium";"F"
"753";"Premium";"F"
"754";"Good";"E"
"755";"Very Good";"G"
"756";"Ideal";"E"
"757";"Premium";"I"
"758";"Premium";"E"
"759";"Ideal";"G"
"760";"Very Good";"F"
"761";"Very Good";"F"
"762";"Premium";"E"
"763";"Premium";"E"
"764";"Premium";"E"
"765";"Very Good";"E"
"766";"Premium";"J"
"767";"Ideal";"E"
"768";"Ideal";"D"
"769";"Premium";"D"
"770";"Good";"E"
"771";"Fair";"G"
"772";"Fair";"D"
"773";"Ideal";"D"
"774";"Premium";"D"
"775";"Premium";"F"
"776";"Ideal";"G"
"777";"Premium";"D"
"778";"Fair";"F"
"779";"Premium";"E"
"780";"Very Good";"F"
"781";"Very Good";"J"
"782";"Ideal";"E"
"783";"Premium";"D"
"784";"Ideal";"F"
"785";"Premium";"D"
"786";"Ideal";"G"
"787";"Ideal";"G"
"788";"Premium";"I"
"789";"Fair";"F"
"790";"Premium";"E"
"791";"Premium";"D"
"792";"Very Good";"D"
"793";"Very Good";"F"
"794";"Very Good";"D"
"795";"Premium";"F"
"796";"Very Good";"F"
"797";"Ideal";"H"
"798";"Very Good";"E"
"799";"Premium";"H"
"800";"Premium";"E"
"801";"Premium";"E"
"802";"Fair";"E"
"803";"Premium";"E"
"804";"Good";"I"
"805";"Ideal";"D"
"806";"Premium";"G"
"807";"Premium";"F"
"808";"Premium";"D"
"809";"Premium";"D"
"810";"Premium";"D"
"811";"Ideal";"D"
"812";"Premium";"D"
"813";"Premium";"D"
"814";"Premium";"J"
"815";"Premium";"J"
"816";"Premium";"H"
"817";"Premium";"E"
"818";"Ideal";"F"
"819";"Premium";"E"
"820";"Ideal";"E"
"821";"Ideal";"E"
"822";"Very Good";"I"
"823";"Premium";"D"
"824";"Very Good";"D"
"825";"Very Good";"D"
"826";"Ideal";"E"
"827";"Ideal";"H"
"828";"Premium";"I"
"829";"Very Good";"H"
"830";"Ideal";"D"
"831";"Ideal";"H"
"832";"Premium";"H"
"833";"Premium";"F"
"834";"Ideal";"F"
"835";"Ideal";"F"
"836";"Ideal";"F"
"837";"Ideal";"F"
"838";"Premium";"F"
"839";"Ideal";"G"
"840";"Fair";"F"
"841";"Ideal";"I"
"842";"Ideal";"G"
"843";"Premium";"E"
"844";"Very Good";"E"
"845";"Premium";"D"
"846";"Ideal";"E"
"847";"Ideal";"G"
"848";"Ideal";"G"
"849";"Ideal";"H"
"850";"Premium";"F"
"851";"Ideal";"E"
"852";"Premium";"E"
"853";"Ideal";"G"
"854";"Ideal";"H"
"855";"Ideal";"F"
"856";"Ideal";"H"
"857";"Premium";"E"
"858";"Premium";"I"
"859";"Very Good";"E"
"860";"Good";"E"
"861";"Premium";"J"
"862";"Ideal";"I"
"863";"Ideal";"G"
"864";"Good";"D"
"865";"Very Good";"D"
"866";"Ideal";"I"
"867";"Very Good";"G"
"868";"Ideal";"D"
"869";"Good";"E"
"870";"Ideal";"D"
"871";"Ideal";"D"
"872";"Very Good";"D"
"873";"Very Good";"E"
"874";"Ideal";"E"
"875";"Good";"G"
"876";"Very Good";"F"
"877";"Very Good";"E"
"878";"Ideal";"E"
"879";"Ideal";"I"
"880";"Fair";"H"
"881";"Fair";"I"
"882";"Premium";"J"
"883";"Good";"J"
"884";"Fair";"I"
"885";"Fair";"I"
"886";"Premium";"J"
"887";"Premium";"F"
"888";"Premium";"D"
"889";"Premium";"F"
"890";"Premium";"F"
"891";"Premium";"G"
"892";"Ideal";"F"
"893";"Ideal";"F"
"894";"Ideal";"F"
"895";"Premium";"G"
"896";"Fair";"H"
"897";"Ideal";"H"
"898";"Fair";"J"
"899";"Fair";"I"
"900";"Fair";"H"
"901";"Premium";"E"
"902";"Premium";"E"
"903";"Very Good";"H"
"904";"Ideal";"E"
"905";"Ideal";"G"
"906";"Good";"H"
"907";"Good";"F"
"908";"Very Good";"F"
"909";"Very Good";"F"
"910";"Very Good";"D"
"911";"Ideal";"I"
"912";"Ideal";"F"
"913";"Very Good";"F"
"914";"Premium";"E"
"915";"Premium";"F"
"916";"Premium";"F"
"917";"Ideal";"G"
"918";"Ideal";"G"
"919";"Ideal";"J"
"920";"Fair";"F"
"921";"Ideal";"F"
"922";"Very Good";"J"
"923";"Very Good";"D"
"924";"Ideal";"H"
"925";"Very Good";"E"
"926";"Premium";"H"
"927";"Very Good";"H"
"928";"Ideal";"F"
"929";"Premium";"F"
"930";"Fair";"F"
"931";"Premium";"F"
"932";"Ideal";"D"
"933";"Good";"H"
"934";"Fair";"H"
"935";"Fair";"I"
"936";"Very Good";"F"
"937";"Premium";"I"
"938";"Ideal";"D"
"939";"Fair";"E"
"940";"Fair";"D"
"941";"Ideal";"E"
"942";"Ideal";"E"
"943";"Very Good";"D"
"944";"Premium";"E"
"945";"Ideal";"I"
"946";"Very Good";"G"
"947";"Very Good";"E"
"948";"Very Good";"F"
"949";"Good";"H"
"950";"Very Good";"F"
"951";"Ideal";"E"
"952";"Ideal";"E"
"953";"Ideal";"F"
"954";"Premium";"F"
"955";"Premium";"E"
"956";"Ideal";"F"
"957";"Ideal";"F"
"958";"Premium";"F"
"959";"Good";"F"
"960";"Ideal";"G"
"961";"Very Good";"E"
"962";"Ideal";"F"
"963";"Ideal";"E"
"964";"Ideal";"E"
"965";"Ideal";"D"
"966";"Good";"D"
"967";"Ideal";"H"
"968";"Fair";"H"
"969";"Very Good";"F"
"970";"Very Good";"G"
"971";"Ideal";"G"
"972";"Ideal";"F"
"973";"Very Good";"H"
"974";"Ideal";"G"
"975";"Good";"G"
"976";"Very Good";"G"
"977";"Premium";"G"
"978";"Very Good";"E"
"979";"Ideal";"G"
"980";"Ideal";"F"
"981";"Very Good";"G"
"982";"Very Good";"F"
"983";"Ideal";"G"
"984";"Very Good";"G"
"985";"Very Good";"G"
"986";"Very Good";"G"
"987";"Ideal";"F"
"988";"Ideal";"D"
"989";"Ideal";"E"
"990";"Ideal";"D"
"991";"Premium";"E"
"992";"Very Good";"I"
"993";"Ideal";"I"
"994";"Very Good";"D"
"995";"Premium";"E"
"996";"Ideal";"D"
"997";"Ideal";"E"
"998";"Good";"F"
"999";"Premium";"D"
"1000";"Premium";"J"
"1001";"Ideal";"D"
"1002";"Ideal";"D"
"1003";"Good";"H"
"1004";"Ideal";"G"
"1005";"Ideal";"G"
"1006";"Ideal";"G"
"1007";"Ideal";"G"
"1008";"Ideal";"G"
"1009";"Ideal";"G"
"1010";"Good";"G"
"1011";"Very Good";"F"
"1012";"Premium";"D"
"1013";"Premium";"F"
"1014";"Ideal";"E"
"1015";"Premium";"E"
"1016";"Ideal";"E"
"1017";"Premium";"E"
"1018";"Ideal";"E"
"1019";"Ideal";"G"
"1020";"Fair";"E"
"1021";"Premium";"E"
"1022";"Premium";"D"
"1023";"Ideal";"D"
"1024";"Ideal";"D"
"1025";"Premium";"D"
"1026";"Premium";"E"
"1027";"Very Good";"F"
"1028";"Very Good";"D"
"1029";"Very Good";"E"
"1030";"Ideal";"E"
"1031";"Very Good";"G"
"1032";"Very Good";"G"
"1033";"Very Good";"G"
"1034";"Very Good";"G"
"1035";"Very Good";"I"
"1036";"Ideal";"D"
"1037";"Very Good";"J"
"1038";"Good";"I"
"1039";"Premium";"J"
"1040";"Very Good";"D"
"1041";"Ideal";"I"
"1042";"Good";"E"
"1043";"Ideal";"E"
"1044";"Ideal";"E"
"1045";"Ideal";"E"
"1046";"Ideal";"H"
"1047";"Ideal";"F"
"1048";"Ideal";"F"
"1049";"Ideal";"G"
"1050";"Ideal";"E"
"1051";"Ideal";"G"
"1052";"Ideal";"H"
"1053";"Ideal";"D"
"1054";"Premium";"F"
"1055";"Good";"F"
"1056";"Premium";"E"
"1057";"Premium";"E"
"1058";"Premium";"I"
"1059";"Premium";"I"
"1060";"Very Good";"I"
"1061";"Premium";"I"
"1062";"Premium";"H"
"1063";"Premium";"H"
"1064";"Ideal";"E"
"1065";"Ideal";"E"
"1066";"Ideal";"E"
"1067";"Premium";"I"
"1068";"Ideal";"I"
"1069";"Premium";"I"
"1070";"Premium";"I"
"1071";"Premium";"I"
"1072";"Very Good";"I"
"1073";"Premium";"I"
"1074";"Premium";"H"
"1075";"Premium";"H"
"1076";"Good";"H"
"1077";"Premium";"H"
"1078";"Premium";"H"
"1079";"Ideal";"H"
"1080";"Premium";"E"
"1081";"Very Good";"H"
"1082";"Ideal";"I"
"1083";"Premium";"D"
"1084";"Premium";"D"
"1085";"Ideal";"H"
"1086";"Ideal";"H"
"1087";"Ideal";"I"
"1088";"Very Good";"D"
"1089";"Premium";"I"
"1090";"Ideal";"E"
"1091";"Ideal";"G"
"1092";"Good";"F"
"1093";"Good";"E"
"1094";"Good";"E"
"1095";"Good";"E"
"1096";"Premium";"E"
"1097";"Fair";"H"
"1098";"Fair";"I"
"1099";"Fair";"H"
"1100";"Very Good";"D"
"1101";"Premium";"D"
"1102";"Premium";"G"
"1103";"Premium";"D"
"1104";"Very Good";"D"
"1105";"Ideal";"D"
"1106";"Premium";"D"
"1107";"Premium";"I"
"1108";"Premium";"E"
"1109";"Ideal";"G"
"1110";"Very Good";"F"
"1111";"Ideal";"E"
"1112";"Very Good";"I"
